id,link,title,body,answers,tags
73717178,https://stackoverflow.com/questions/73717178,Junit 5 order tests with @Tag from some classes,"<p>I have some classes.
I all classes, I have some tests.
Example:</p>
<pre><code>public class testpage1(){

@test
@Tag(&quot;Regression&quot;)
void test1(){
   system.out.println(&quot;Test1&quot;);
}

void test2(){
   system.out.println(&quot;Test2&quot;);
}

   }

public class testpage2(){

@test
@Tag(&quot;Regression&quot;)
void test3(){
   system.out.println(&quot;Test3&quot;);
 }

void test4(){
   system.out.println(&quot;Test4&quot;);
   }

}

public class testpage3(){

@test
@Tag(&quot;Regression&quot;)
void test5(){
   system.out.println(&quot;Test5&quot;);
   }

void test6(){
   system.out.println(&quot;Test6&quot;);
  }

}
</code></pre>
<p>I have other class to run :</p>
<pre><code>@RunWith(value = JunitPlatform.class)
@IncludeTags(value = {&quot;Regression&quot;})
</code></pre>
<p>When I run this class,
The test run without any order,</p>
<p>How can I order the test to run in order that I want?</p>
","<p>jUnit5 allows you to set the tests execution order with <code>@Order()</code> annotation.<br />
So, you can add these annotations in your code as following:</p>
<pre class=""lang-java prettyprint-override""><code>public class testpage1(){

@test
@Order(1)
@Tag(&quot;Regression&quot;)
void test1(){
   system.out.println(&quot;Test1&quot;);
}

void test2(){
   system.out.println(&quot;Test2&quot;);
}

   }

public class testpage2(){

@test
@Order(2)
@Tag(&quot;Regression&quot;)
void test3(){
   system.out.println(&quot;Test3&quot;);
 }

void test4(){
   system.out.println(&quot;Test4&quot;);
   }

}

public class testpage3(){

@test
@Order(3)
@Tag(&quot;Regression&quot;)
void test5(){
   system.out.println(&quot;Test5&quot;);
   }

void test6(){
   system.out.println(&quot;Test6&quot;);
  }

}
</code></pre>
<p>This should make these tests executed correspondingly</p>
","['java', 'selenium', 'junit', 'tags', 'junit5']"
23440767,https://stackoverflow.com/questions/23440767,Add one more option field in the Struts2 select tag,"<p>i have one struts 2 select tag like below.</p>

<pre><code>&lt;s:select list=""myList"" listKey=""myListVal""  listValue=""myListDesc""&gt;&lt;/s:select&gt;
</code></pre>

<p>it rendered as below</p>

<pre><code>&lt;select data-inputs=""myListInput"" &gt;
     &lt;option value=""myListVal1"" &gt;myListDesc1&lt;/option&gt;
     &lt;option value=""myListVal2"" &gt;myListDesc2&lt;/option&gt;
     &lt;option value=""myListVal3"" &gt;myListDesc3&lt;/option&gt;
&lt;/select&gt;
</code></pre>

<p>i want to add one more option field with null value</p>

<pre><code>&lt;option value="""" &gt;&lt;/option&gt;
</code></pre>

<p>to the Option field with modification in the list.</p>

<p>In struts 1 it is possible like below</p>

<pre><code>&lt;html:option value=""""&gt;&lt;/html:option&gt;
</code></pre>

<p>like that is it possible in the struts 2</p>

<blockquote>
  <p><strong>note:i couldn't able to modifiy the list before the page load in the java</strong></p>
</blockquote>
","<p>There is an Attribute called <code>emptyOption</code> in the select tag.
It worked as below.</p>

<pre><code>&lt;s:select list=""myList"" listKey=""myListVal""  listValue=""myListDesc"" emptyOption=""true""  &gt;&lt;/s:select&gt; 
</code></pre>
","['java', 'select', 'struts2', 'tags']"
47100653,https://stackoverflow.com/questions/47100653,Set a tag to EC2 instance using JAVA,"<p>This is the last code I tried: </p>

<pre><code>System.out.println(""Manager not exists. Going to create."");
            // Basic 32-bit Amazon Linux AMI 1.0 (AMI Id: ami-08728661)
            RunInstancesRequest request = new RunInstancesRequest(""ami-acd005d5"", 1, 1);
            request.setInstanceType(InstanceType.T2Micro.toString());
            List&lt;Instance&gt; instances = ec2.runInstances(request).getReservation().getInstances();
            System.out.println(""Launch instances: "" + instances);
            Instance instance = instances.get(0);

            Collection&lt;String&gt; resources = new ArrayList();
            resources.add(instance.getInstanceId());
            Collection&lt;Tag&gt; tags = new ArrayList();
            tags.add(new Tag(""Name"", ""Manager""));
            CreateTagsRequest createTagsRequest = new CreateTagsRequest();  
            createTagsRequest.setResourceId(instance.getInstanceId());
            createTagsRequest.setTags(tags);
            CreateTagsResult tagsRsults = createTags(createTagsRequest);
</code></pre>

<p>It doesn't compile on line createTagsRequest.setTags(tags): </p>

<pre><code>The method setTags(java.util.Collection&lt;com.amazonaws.services.workspaces.model.Tag&gt;) in the type CreateTagsRequest is not applicable for the arguments (java.util.Collection&lt;com.amazonaws.services.ec2.model.Tag&gt;)
</code></pre>

<p>It offers me to change 'setTags' to 'withTags' and the opposite (Circular situation) .
Tried several methods, looked at the AWS documentation and Javadoc. </p>

<p>This is my imports: </p>

<pre><code>    import com.amazonaws.services.ec2.AmazonEC2;
import com.amazonaws.services.ec2.AmazonEC2ClientBuilder;
import com.amazonaws.services.ec2.model.Instance;
import com.amazonaws.services.ec2.model.InstanceStateName;
import com.amazonaws.services.ec2.model.InstanceType;
import com.amazonaws.services.ec2.model.Reservation;
import com.amazonaws.services.ec2.model.RunInstancesRequest;
import com.amazonaws.services.ec2.model.Tag;
</code></pre>

<p>Edit: 
Current code not working: </p>

<pre><code>Collection&lt;Tag&gt; tags = new ArrayList&lt;Tag&gt;();
Tag t = new Tag();
            t.setKey(""Name"");
            t.setValue(""Manager"");
            tags.add(t);
            CreateTagsRequest createTagsRequest = new CreateTagsRequest();  
            createTagsRequest.withTags(tags);
            createTagsRequest.withResourceId(instance.getInstanceId());
            ec2.createTags(createTagsRequest);
</code></pre>
","<p>An update for AWS SDK version:</p>
<pre><code>&lt;dependency&gt;
    &lt;groupId&gt;software.amazon.awssdk&lt;/groupId&gt;
    &lt;artifactId&gt;bom&lt;/artifactId&gt;
    &lt;version&gt;2.17.230&lt;/version&gt;
    &lt;type&gt;pom&lt;/type&gt;
    &lt;scope&gt;import&lt;/scope&gt;
&lt;/dependency&gt;
</code></pre>
<p>I used the following code:</p>
<pre><code>Region region = Region.US_WEST_2;
Ec2Client ec2 = Ec2Client.builder()
               .region(region)
               .credentialsProvider(ProfileCredentialsProvider.create())
               .build();

try {
    ArrayList&lt;Tag&gt; tags = new ArrayList&lt;Tag&gt;();
    tags.add(Tag.builder().key(&quot;tag&quot;).value(&quot;value&quot;).build());
    CreateTagsRequest request = CreateTagsRequest.builder()
            .resources(&quot;instanceId&quot;)
            .tags(tags).build();
    ec2.createTags(request);
} catch (Ec2Exception e) {
    System.out.println(&quot;Error setting instance id &quot; + instanceId + &quot; with tag &quot; + tag +  &quot; to value &quot; + value);
    System.err.println(e.awsErrorDetails().errorCode());

}
System.out.println(&quot;SET instance id &quot; + instanceId + &quot; with tag &quot; + tag + &quot; to value &quot; + value);
</code></pre>
","['java', 'amazon-web-services', 'amazon-ec2', 'tags', 'cloud']"
73376927,https://stackoverflow.com/questions/73376927,Getting Google Chrome out of memory issue due to multiple dropdown list gets populated dynamically in JSP page,"<p>Getting Google Chrome out of memory issue due to multiple dropdown list gets populated dynamically in JSP page. Any help would be appreciated.</p>
<pre><code>&lt;nested:iterate property=&quot;studentList&quot;&gt;
  &lt;tr&gt;
    &lt;td&gt;
      &lt;nested:select property=&quot;name&quot;&gt;
        &lt;html:options collection=&quot;college&quot; property=&quot;test1&quot; /&gt;
      &lt;/nested:select&gt;
    &lt;/td&gt;
  &lt;/tr&gt;
&lt;/nested:iterate&gt;
</code></pre>
",,"['java', 'jsp', 'browser', 'tags', 'struts-1']"
72857806,https://stackoverflow.com/questions/72857806,JAXB don&#39;t marshal attribute,"<p>I have some class generated by jaxb mave plugin like this:</p>
<pre><code>@XmlType
@XmlRootElement(name = &quot;Foo&quot;, namespace = &quot;urn://some-urn&quot;)
public class Foo {
    @XmlAttribute(name = &quot;id&quot;, required = true)
    protected String id;
    @XmlAttribute(name = &quot;name&quot;, required = true)
    protected BigInteger name;
    @XmlAttribute(name = &quot;age&quot;, required = true)
    protected String age;
</code></pre>
<p>I need to marshal object from this class, but JAXB marshaling attributes as an elements.</p>
<p>Required:</p>
<pre><code>&lt;?xml version=&quot;1.0&quot; encoding=&quot;UTF-8&quot; standalone=&quot;yes&quot;?&gt;
&lt;ns2:Foo xmlns:ns2=&quot;urn://some-urn&quot; id=&quot;1&quot; name=&quot;Boris&quot; age=&quot;43&quot;&gt;
    //some elements in the root element
&lt;/ns2:Foo&gt;
</code></pre>
<p>Provided:</p>
<pre><code>&lt;?xml version=&quot;1.0&quot; encoding=&quot;UTF-8&quot; standalone=&quot;yes&quot;?&gt;
&lt;ns2:Foo xmlns:ns2=&quot;urn://some-urn&quot;&gt;
    &lt;id&gt;1&lt;/id&gt;
    &lt;name&gt;Boris&lt;/name&gt;
    &lt;age&gt;43&lt;/age&gt;
&lt;/ns2:Foo&gt;
</code></pre>
<p>Marshalling method:</p>
<pre><code>public String marshalToXml(Foo foo) {
        StringWriter stringWriter = new StringWriter();
        try {
            Marshaller marshaller = JAXBContext.newInstance(Foo.class).createMarshaller();
            marshaller.setProperty(Marshaller.JAXB_FORMATTED_OUTPUT, Boolean.TRUE);
            QName qName = new QName(&quot;urn://some-urn&quot;,
                    &quot;Foo&quot;);
            JAXBElement&lt;Foo&gt; bar = new JAXBElement&lt;&gt;(qName, Foo.class, foo);
            marshaller.marshal(bar, stringWriter);
            return stringWriter.toString();
        } catch (JAXBException e) {
            log.error(e.getMessage(), e);
        }
        return null;
    }
</code></pre>
",,"['java', 'xml', 'attributes', 'tags', 'jaxb']"
72376199,https://stackoverflow.com/questions/72376199,Round method for &lt;fmt:formatNumber maxFractionDigits&gt;,"<p>How does rounding works with this tag? Only docs I could find is this:</p>
<blockquote>
<p>Attributes are also provided to allow you to determine how many decimal places should be used. The minFractionalDigits and maxFractionalDigits attributes allow you to specify the number of decimal places. If the number exceeds the maximum number of fractional digits, <strong>the number will be rounded</strong>. --<em>How exactly??</em></p>
</blockquote>
<p>Is there something like default round method that I can change in this tag? Something like</p>
<pre><code>RoundingMode.HALF_EVEN (*default*) --&gt; RoundingMode.HALF_UP
</code></pre>
<p>Thanks</p>
",,"['java', 'jsp', 'tags', 'rounding']"
653085,https://stackoverflow.com/questions/653085,Purpose of tag library?,"<p>What is the purpose of having tag library? Though we have the basic tags available which makes our work very simple, what is the reason to have a struts-html.tld. Though we can call and use the bean easily through usebean, setProperty and getProperty tags why we have struts-bean.tld.</p>
","<p>While you can do basic things like accessing bean property and using it to construct your HTML, often you require to do much more in your HTML pages. Struts provide a lot of well defined tags that you can use directly to construct your HTML elements, such as your inputs fields or tables etc. And this means, you won't be dealing with HTML elements but struts tags. Apart from providing basic HTML elements, there are tag library that help you create more complex HTML pages. For an e.g, with a particular tag library, you can construct neat paginated table just by providing an iterator and mapping column headers.</p>
","['java', 'jsp', 'struts', 'tags', 'jsp-tags']"
71541441,https://stackoverflow.com/questions/71541441,JAVA DOM: Delete parent tag if child tag has specified value,"<p>I'm doing a simple Java DOM app for car renting. I have a <code>&lt;car&gt;</code> tag that contains <code>&lt;id&gt;</code> tag, I'm trying to make a method that deletes the <code>&lt;car&gt;</code> tag by specifying the value of the <code>&lt;id&gt;</code> tag. I've tried thinking of a solution and looked at similar questions but haven't figured it out. Here's structure of my XML document:</p>
<pre><code>&lt;parking&gt;
&lt;car&gt;
    &lt;id&gt;1&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;2&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;3&lt;/id&gt;
&lt;/car&gt;
&lt;car&gt;
    &lt;id&gt;4&lt;/id&gt;
&lt;/car&gt;&lt;/parking&gt;
</code></pre>
",,"['java', 'xml', 'dom', 'methods', 'tags']"
78312772,https://stackoverflow.com/questions/78312772,&quot;Multiple root tags&quot; and &quot;Top level element is not completed&quot; error in AndroidManifest.xml. What am i doing wrong?,"<pre><code>&lt;?xml version=&quot;1.0&quot; encoding=&quot;utf-8&quot;?&gt;
&lt;manifest xmlns:android=&quot;http://schemas.android.com/apk/res/android&quot;
    xmlns:tools=&quot;http://schemas.android.com/tools&quot;
    package=&quot;com.example.transkript&quot;&gt;

    &lt;uses-permission android:name=&quot;android.permission.RECORD_AUDIO&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.INTERNET&quot; /&gt;
    &lt;uses-permission android:name=&quot;android.permission.WRITE_EXTERNAL_STORAGE&quot; /&gt;

    &lt;application
        android:allowBackup=&quot;true&quot;
        android:icon=&quot;@mipmap/ic_launcher&quot;
        android:label=&quot;@string/app_name&quot;
        android:roundIcon=&quot;@mipmap/ic_launcher_round&quot;
        android:supportsRtl=&quot;true&quot;
        android:theme=&quot;@style/Theme.Transkript&quot;
        tools:targetApi=&quot;31&quot;&gt;

        &lt;activity
            android:name=&quot;.MainActivity&quot;
            android:exported=&quot;true&quot;&gt;
            &lt;intent-filter&gt;
                &lt;action android:name=&quot;android.intent.action.MAIN&quot; /&gt;

                &lt;category android:name=&quot;android.intent.category.LAUNCHER&quot; /&gt;
            &lt;/intent-filter&gt;
        &lt;/activity&gt;



    &lt;/application&gt;

&lt;/manifest&gt;
</code></pre>
<p>I'm very new and i'm not sure what's wrong. I have been reading and been seeing that I should only have one root tag, but examples online show that what i have should be correct? Could it be related to my MainActivity file? The xml above is from AndroidManifest.xml</p>
<p>My app is based around recording an audio file, with a button that starts recording and when pressing it again it ends recording. It compiles and runs but then when pressing the button it crashes and the errors i get in Android studio are:</p>
<p>Multiple root tags at line 22</p>
<p>Tag start is not closed at line 22</p>
<p>Multiple root tags at line 23</p>
<p>Top level element is not completed at line 24</p>
<p>Wrong closing tag name at line 26</p>
<p>Wrong closing tag name at line 27</p>
<p>Wrong closing tag name at line 31</p>
<p>Top level element is not completed at line 32</p>
<p>Thanks!</p>
<pre><code>package com.example.transkript;

import android.media.MediaRecorder;
import android.os.Bundle;
import android.os.Environment;
import android.util.Log;
import java.io.File;
import android.view.View;
import android.widget.Button;

import androidx.appcompat.app.AppCompatActivity;

import java.io.IOException;

public class MainActivity extends AppCompatActivity {

private Button recordButton;
private MediaRecorder recorder;
private boolean isRecording = false;

@Override
protected void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.activity_main);

    recordButton = findViewById(R.id.recordButton);
    recordButton.setOnClickListener(new View.OnClickListener() {
        @Override
        public void onClick(View v) {
            if (isRecording) {
                stopRecording();
            } else {
                startRecording();
            }
        }
    });
}

private void startRecording() {
    // Create a new MediaRecorder instance
    recorder = new MediaRecorder();

    // Set the audio source to the microphone
    recorder.setAudioSource(MediaRecorder.AudioSource.MIC);

    // Set the output format to 3GPP (media recorder will choose the appropriate audio codec)
    recorder.setOutputFormat(MediaRecorder.OutputFormat.THREE_GPP);

    // Set the output file path
    recorder.setOutputFile(getFilePath());

    // Set the audio encoder to AMR NB for efficiency
    recorder.setAudioEncoder(MediaRecorder.AudioEncoder.AMR_NB);

    try {
        // Prepare the recorder
        recorder.prepare();

        // Start recording
        recorder.start();

        // Update the UI to reflect the recording state
        isRecording = true;
        recordButton.setText(&quot;Stop Recording&quot;);
    } catch (IOException e) {
        // Handle exceptions
        e.printStackTrace();
    }
}

private void stopRecording() {
    if (recorder != null) {
        // Stop the recording
        recorder.stop();

        // Release the MediaRecorder object
        recorder.release();
        recorder = null;

        // Update the UI to reflect the recording state
        isRecording = false;
        recordButton.setText(&quot;Record&quot;);
    }
}

private String getFilePath() {
    // Get the external storage directory
    File externalStorageDir = Environment.getExternalStorageDirectory();

    // Check if the external storage is available and writable
    if (externalStorageDir == null || !externalStorageDir.canWrite()) {
        Log.e(&quot;MainActivity&quot;, &quot;External storage is not available or writable.&quot;);
        return null;
    }

    // Create a new directory for your app's files
    File appDirectory = new File(externalStorageDir, &quot;MyAppAudioFiles&quot;);
    if (!appDirectory.exists()) {
        if (!appDirectory.mkdirs()) {
            Log.e(&quot;MainActivity&quot;, &quot;Failed to create directory for audio files.&quot;);
            return null;
        }
    }

    // Create a new file in the app's directory
    File audioFile = new File(appDirectory, &quot;myrecording.3gp&quot;);

    // Check if the file can be created
    if (!audioFile.exists()) {
        try {
            if (!audioFile.createNewFile()) {
                Log.e(&quot;MainActivity&quot;, &quot;Failed to create audio file.&quot;);
                return null;
            }
        } catch (IOException e) {
            Log.e(&quot;MainActivity&quot;, &quot;Failed to create audio file.&quot;, e);
            return null;
        }
    }

    // Return the absolute path of the file
    return audioFile.getAbsolutePath();
}

@Override
protected void onDestroy() {
    super.onDestroy();
    if (recorder != null) {
        recorder.release();
        recorder = null;
    }
}
}
</code></pre>
<p><a href=""https://i.sstatic.net/TDKRv.png"" rel=""nofollow noreferrer"">Here is the logcat</a></p>
","<p>The XML declaration (not a &quot;tag&quot;),</p>
<pre><code>&lt;?xml version=&quot;1.0&quot; encoding=&quot;utf-8&quot;?&gt;
</code></pre>
<p>is perfectly fine.</p>
<p>The rest of the XML document is also fine.  It is well-formed and not the source of either the &quot;Multiple root tags&quot; or the &quot;Top level element is not completed&quot; errors.</p>
<p>Check that you've posted the actual file that's causing the error, and check that you've not pruned away the source of the error in the interest of creating a minimal example.</p>
<h2>See also</h2>
<p>For the posted error messages, see</p>
<ul>
<li><a href=""https://stackoverflow.com/q/46355454/290085"">How to fix error: The markup in the document following the root element must be well-formed</a></li>
</ul>
<p>...but your posted XML is well-formed.</p>
","['java', 'android', 'xml', 'tags']"
43050742,https://stackoverflow.com/questions/43050742,Read .m4a Tags on Android,"<p>I recently started building an audio tag editor, but now I find a problem that I can't manage to pass through.
My problem is that I don't know how to read tags in .m4a files.</p>
<p>I used this code to read it on mp3 files using a public external library called &quot;Jaudiotagger&quot;, and it worked fine.</p>
<pre><code>   try {
       File file = new File(TrackPath);
       AudioFile f = AudioFileIO.read(file);
       Tag tag = f.getTag();

       audioAlbum.setText(tag.getFirst(FieldKey.ALBUM));
       audioArtist.setText(tag.getFirst(FieldKey.ARTIST));
    }catch(Exception e) {
       e.printStackTrace();
    };
</code></pre>
<p>But when I tried with an .m4a file just returns blank strings, even using Mp4Tag and Mp4FieldKey instead of Tag and FieldKey.</p>
<p>Does anyone know any other external library which reads these type of audio files or just any workaround for this?</p>
<p>And I don't want to use Android MediaStore because I want the tags to be merged into the file, so I can move the file to another device and keep them.</p>
<p>Thanks in advance.</p>
","<p>Jaudiotagger processes mp4 and m4a <strong>exactly the same way</strong></p>

<p>You are using the library to read metadata from the file but it seems to me that you are assuming the file already has artist and album metadata in the file, but probably your second file just doesnt have any metadata in it.</p>
","['java', 'android', 'audio', 'tags', 'm4a']"
23428877,https://stackoverflow.com/questions/23428877,How to fix FileUploadBase$SizeLimitExceededException: the request was rejected because its size (337867) exceeds the configured maximum (200),"<p>How to handle custom inteceptors execptions in Struts 2?</p>

<pre><code>org.apache.commons.fileupload.FileUploadBase$SizeLimitExceededException: 
the request was rejected because its size (337867) exceeds the configured 
maximum (200)
</code></pre>
","<p>Set this constant to increase a request limit</p>

<pre><code>&lt;constant name=""struts.multipart.maxSize"" value=""1000000"" /&gt;
</code></pre>

<blockquote>
  <p>Please remember that the struts.multipart.maxSize is the size limit of the whole request, which means when you uploading multiple files, the sum of their size must be below the struts.multipart.maxSize!</p>
</blockquote>
","['java', 'file-upload', 'struts2', 'tags']"
6669256,https://stackoverflow.com/questions/6669256,Java Web Application - Get Between String,"<p>I'm making a Java web application that finds text between tags using a .html file.</p>

<p>Example:</p>

<pre><code>&lt;title&gt;Example&lt;/title&gt;
</code></pre>

<p>Now the web application would open the .html file and find the text that is between the <code>&lt;title&gt;</code> tags which would be ""Example"".</p>

<p>Anyone have any ideas?</p>
","<p>To get the website source code via scraping:</p>
<pre><code>String targetPage = site;

                if(targetPage.contains(&quot;https://&quot;))
                {
                } else {
                    targetPage = &quot;https://&quot;.concat(targetPage);
                }

                System.out.println();

                //System.out.print(targetPage);

                System.out.println();

                URL wiki = new URI(targetPage).toURL();

                URLConnection yc = wiki.openConnection();

                BufferedReader in = new BufferedReader(new InputStreamReader(

                    yc.getInputStream()));

                String inputLine;

                String line = &quot;&quot;;

                while ((inputLine = in.readLine()) != null)

                    line += inputLine;

                in.close();
</code></pre>
<p>From there, you can use the substring method to find everything in between :</p>
<pre><code>line.substring(&quot;&lt;/title&gt;&quot;,&quot;&lt;/title&gt;&quot;)
</code></pre>
<p>You can do the same String manipulation by reading the .html file too</p>
","['java', 'tags']"
8400301,https://stackoverflow.com/questions/8400301,&lt;c:out/&gt; unknown tag,"<p>Why I get error tip message in eclipse on left when I include the following line.</p>

<pre><code>&lt;c:out value=${variable}/&gt;
</code></pre>

<p>I get the error ""Unknown tag(c:out)""</p>

<p>I also included on top</p>

<pre><code>&lt;%@ page isELIgnored =""false"" %&gt; 
</code></pre>

<p>Is there a jstl I need to include?</p>
","<p>If ur using maven dependency see wether the jstl 1.2 dependency is added properly then.
<code>&lt;%@taglib uri=&quot;http://java.sun.com/jsp/jstl/core&quot; prefix=&quot;c&quot; %&gt;</code>   use this tag in ur jsp page.
And also if its geving url error then just rewrite the url and save it.
And also change the version of java to 8 and change the spring boot version to 2.7.17</p>
","['java', 'eclipse', 'jsp', 'tags', 'jstl']"
77645240,https://stackoverflow.com/questions/77645240,How can I make a hook execute after every step with a particular tag?,"<p>I want to set up a after step hook that runs only after assertion steps (those that I tagged with @Then tag).
Is that even possible?
I'm trying</p>
<pre><code>    @AfterStep(value = &quot;@Then&quot;)
public void afterStep(Scenario scenario) {
    try {
        takeScreenshot(scenario);
    }
    catch (IllegalStateException ignore){
    }
}
</code></pre>
<p>But then it only runs if the scenario is tagged with @Then, it does not look into the steps tags.
Any help will be welcomed!
Thanks!</p>
","<p>I fear that this is not possible out of the box.</p>
<p>Cucumber doesn't provide a clear API to access the current running step in the @BeforeStep/@AfterStep hooks.</p>
<p>In general, I see 2 possible options for how you can achieve the desired goal (w/o using reflection on cucumber objects, the state of which cannot be guaranteed):</p>
<ul>
<li>The easiest one is to take screenshots in the step implementation. You likely have a driver passing around in your steps, scenario can also be moved to some shared context, so you can create a fancy method for screenshotting. This option is easy to implement, but it will result in minor, but still code duplication. Smth like:</li>
</ul>
<pre><code>

    public void stepImpl() {
        try {
            // some step logic
            driver.....
        } finally {
            takeScreenshot(driver, context.getScenario());
        }
    }

</code></pre>
<ul>
<li>You can try to use <a href=""https://www.baeldung.com/aspectj"" rel=""nofollow noreferrer"">aspectj</a>. It may be a bit complex to setup, but with aspectj (and AOP in general) you can create advice that can be applied only to those methods, that are annotated with cucumber's @Then annotation. But in this case, you also need to store your driver and scenario in some shared context to be able to use it in your aspect. Smth like:</li>
</ul>
<pre><code>

    import org.aspectj.lang.ProceedingJoinPoint;
    import org.aspectj.lang.annotation.Around;
    import org.aspectj.lang.annotation.Aspect;
    import org.aspectj.lang.annotation.Pointcut;
    
    @Aspect
    public class ScreenshottingAspect {
    
        @Pointcut(""execution(* your.package..*(..)) && @annotation(io.cucumber.java.en.Then)"")
        public void methodExecution() {
        }
    
        @Around(""methodExecution()"")
        public Object captureScreenshot(ProceedingJoinPoint joinPoint) throws Throwable {
            try {
                return joinPoint.proceed();
            } finally {
                takeScreenshot(context.getDriver(), context.getScenario());
            }
        }
    
    }


</code></pre>
","['java', 'tags', 'cucumber', 'cucumber-java']"
77432949,https://stackoverflow.com/questions/77432949,Apache Beam Test Fails Due to Unknown Output Tag Exception in Java SDK,"<p>I'm working on an Apache Beam project using the Java SDK, and I've encountered a persistent issue during testing. My pipeline uses a DoFn that emits elements to a main output and a side output. However, when running my tests, I'm receiving an IllegalArgumentException indicating an &quot;Unknown output tag.&quot;</p>
<p>Here's the stack trace that pinpoints the problem:</p>
<pre><code>Caused by: java.lang.IllegalArgumentException: Unknown output tag Tag&lt;com.myproject.SomeClassWithDefinedTags#10&gt;
    at org.apache.beam.vendor.guava.v26_0_jre.com.google.common.base.Preconditions.checkArgument(Preconditions.java:216)
    at org.apache.beam.repackaged.direct_java.runners.core.SimpleDoFnRunner.outputWindowedValue(SimpleDoFnRunner.java:274)
    at org.apache.beam.repackaged.direct_java.runners.core.SimpleDoFnRunner.access$900(SimpleDoFnRunner.java:85)
    at org.apache.beam.repackaged.direct_java.runners.core.SimpleDoFnRunner$DoFnProcessContext.output(SimpleDoFnRunner.java:423)
    at org.apache.beam.sdk.transforms.DoFnOutputReceivers$WindowedContextOutputReceiver.output(DoFnOutputReceivers.java:76)
    at myProject.DoFn.processElement(DoFn.java:136)
</code></pre>
<p>I've double-checked that my TupleTags are imported and utilized correctly in the test. Here's a snippet for context:</p>
<pre><code>import static com.myproject.transform.SomeClassWithDefinedTags.SuccessTag;
import static com.myproject.transform.SomeClassWithDefinedTags.FailTag; 

@Test
    @Category(NeedsRunner.class)
    public void testProcessElement() {
        String testInput = &quot;&quot;;
        List&lt;String&gt; input = List.of(testInput);
        PCollection&lt;String&gt; output =
                p.apply(Create.of(input))
                        .apply(ParDo.of(new DoFn(SuccessTag, FailTag)));
        PAssert.that(output).containsInAnyOrder(&quot;&quot;);
        p.run().waitUntilFinish();
    }
</code></pre>
<p>The MyDoFn class is structured to output to SuccessTag and FailTag tags accordingly. Despite ensuring that the tags are consistent, the test fails with the above exception. The DoFn is also used in the main pipeline without any issues.</p>
<p>Could someone help me understand what might be causing this &quot;Unknown output tag&quot; exception in the test environment and how to resolve it?</p>
","<p>There are two places to start checking. First, be sure to add .withOutputTags() to your ParDo.</p>
<p>Second, its possible this is being run on different runners in the test versus the main pipeline, which can cause inconsistent behavior.</p>
","['java', 'testing', 'tags', 'google-cloud-dataflow', 'junit4']"
77169953,https://stackoverflow.com/questions/77169953,Create GCP tags and attach it to VM using google sdk client library,"<p>Need help with google client lib for creating tags and attach to VM</p>
<pre><code>            InstanceTagDetails instanceTagDetails = new InstanceTagDetails();
            instanceTagDetails.setKey(&quot;tagKeys/281475895256801&quot;);
            instanceTagDetails.setValue(&quot;tagValues/281479362924118&quot;);
            createData.setTagDetails(List.of(instanceTagDetails));

            // set tags
            Map&lt;String, String&gt; tags = new HashMap&lt;&gt;();
            if(createData.getTagDetails() != null &amp;&amp; !createData.getTagDetails().isEmpty()) {
                for (InstanceTagDetails tagDetail : createData.getTagDetails()) {
                    tags.put(tagDetail.getKey(), tagDetail.getValue());
                }
            }

            Instance instanceResource =
                    Instance.newBuilder()
                    .setName(applianceName)
                    .setMachineType(machineType.getSelfLink())
                    .addDisks(disk)
                    .addAllNetworkInterfaces(interfaceList)
                    .setCanIpForward(Boolean.TRUE) // as pass thru VM. Important parameter. Need to check if need to be set on interface to0.
                    .setMetadata(metaData)
                    .setZone(createData.getAvailabilityZone())
//                          .setParams(InstanceParams.newBuilder().putAllResourceManagerTags(tags))
                    .build();
</code></pre>
<p>I have tried creating the tags manualyy from GCP and attaching it while creating the VM instance . But I need help with API for creating the tags . Any help much appreciated</p>
",,"['java', 'spring-boot', 'google-cloud-platform', 'tags', 'google-java-format']"
